,hospital_id,hospital,state,ruca,cbsa,payment_type,closure_year,beds,services_remaining,closure_type,reopened_year
0,4059,Clearwater Memorial Hospital,Georgia,4.1,Neither,PPS,2012,25.0,No remaining services,Complete,
1,4033,Walnut Ridge Memorial Hospital,Oklahoma,1.3,Micro,CAH,2018,25.0,No remaining services,Convertd,2020.0
2,4069,Sunset Valley County Hospital,Texas,4.1,Micro,IHS,2009,17.0,No remaining services,Complete,
3,4127,Walnut Ridge Community Hospital,Missouri,2.0,Metro,PPS,2005,25.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
4,4031,Glenwood District Hospital,Mississippi,5.2,Metro,PPS,2020,25.0,Long-Term Care,Converted,
5,4107,Sunset Valley District Hospital,Georgia,10.1,Micro,MDH,2011,29.0,No remaining services,Complete,
6,4097,Maple Creek District Hospital,Florida,9.3,Metro,PPS,2024,37.0,No remaining services,Complete,
7,4014,Clearwater County Hospital,Missouri,7.3,Micro,CAH,2012,11.0,Long-Term Care,Converted,
8,4053,Ridgeway General Hospital,Missouri,4.3,Metro,PPS,2022,26.0,No remaining services,Complete,
9,4044,Banner Community Hospital,New York,4.1,Neither,SCH,2020,18.0,Urgent or Emergency Care,Converted,
10,4147,Springvale Memorial Hospital,Georgia,1.1,Metro,MDH,2026,34.0,No remaining services,Complete,
11,4138,Cedar Falls Memorial Hospital,Florida,2.1,Metro,CAH,2016,4.0,No remaining services,Complete,
12,4078,Cobbton General Hospital,Illinois,2.2,Neither,CAH,2019,4.0,No remaining services,Complete,
13,4102,Millbrook General Hospital,South Carolina,4.3,Micro,SCH,2008,18.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
14,4005,Danforth General Hospital,Kansas,4.0,Micro,CAH,2012,,Urgent or Emergency Care,Converted,
15,4085,Hartland Memorial Hospital,Pennsylvania,1.2,Neither,SCH,2016,43.0,No remaining services,Complete,
16,4016,Junction City County Hospital,,9.1,Neither,CAH,2016,32.0,Nursing or Rehabilitation Facility,Converted,
17,4100,Westbend Community Medical Center,Missouri,2.2,Micro,CAH,2016,25.0,Urgent or Emergency Care,Converted,
18,4089,Quincy Flats Community Medical Center,Maine,5.2,Metro,PPS,2026,55.0,No remaining services,Complete,
19,4095,Westbend County Hospital,,2.1,Neither,CAH,2021,54.0,No remaining services,Complete,
20,4091,Walnut Ridge General Hospital,Oklahoma,1.1,Metro,PPS,2023,21.0,No remaining services,Complete,
21,4124,Caldwell District Hospital,Texas,7.1,Neither,PPS,2022,23.0,Outpatient/Primary Care/Rural Health Clinic,Converted,
22,4092,Oak Grove Community Medical Center,Alabama,5.2,Neither,MDH,2009,28.0,Nursing or Rehabilitation Facility,Converted,
23,4099,Holloway Medical Center,Oklahoma,2.2,Metro,CAH,2020,38.0,No remaining services,Complete,
24,4093,Marshton Area Hospital,Kansas,5.2,Metro,MDH,2005,5.0,No remaining services,Complete,
25,4040,Glenwood Medical Center,North Carolina,7.2,Neither,MDH,2023,25.0,No remaining services,Complete,
26,4029,Ridgeway Medical Center,Alabama,9.0,Micro,PPS,2014,25.0,Urgent or Emergency Care,Converted,
27,4042,Cedar Falls County Hospital,Arizona,2.0,Micro,CAH,2014,46.0,Nursing or Rehabilitation Facility,Converted,
28,4054,Verona General Hospital,Georgia,5.0,Metro,PPS,2021,30.0,No remaining services,Complete,
29,4122,Foxworth Community Hospital,,7.0,Metro,MDH,2018,4.0,No remaining services,Complete,
30,4035,Cedar Falls Community Medical Center,West Virginia,2.1,Metro,MDH,2017,10.0,No remaining services,Complete,
31,4019,Ashford General Hospital,Georgia,2.0,Micro,PPS,2020,68.0,Urgent or Emergency Care,Converted,
32,4113,Fairview Community Medical Center,Texas,1.3,Micro,CAH,2015,41.0,No remaining services,Complete,
33,4103,Glenwood Community Medical Center,Mississippi,1.0,Metro,REH,2019,31.0,No remaining services,Complete,
34,4077,Crescent County Hospital,Texas,9.1,Neither,MDH,2018,,Urgent or Emergency Care,Converted,
35,4145,Springvale District Hospital,Missouri,9.1,Micro,CAH,2019,38.0,Urgent or Emergency Care,Converted,
36,4058,Cedar Falls Community Hospital,Texas,1.0,Neither,PPS,2023,28.0,No remaining services,Complete,
37,4121,Eastgate General Hospital,Florida,5.1,Micro,CAH,2019,28.0,No remaining services,Complete,
38,4056,Prairie City Medical Center,West Virginia,1.1,Metro,PPS,2015,21.0,Urgent or Emergency Care,Converted,
39,4028,Linden Medical Center,Oklahoma,2.1,Metro,CAH,2020,,Outpatient/Primary Care/Rural Health Clinic,Converted,
40,4051,Sunset Valley Area Hospital,West Virginia,5.0,Micro,CAH,2016,25.0,No remaining services,Complete,
41,4109,Marigold Community Medical Center,Oklahoma,2.1,Micro,CAH,2022,46.0,Long-Term Care,Converted,
42,4066,Hollis Community Hospital,Texas,1.0,Metro,PPS,2007,33.0,Long-Term Care,Converted,
43,4017,Pine Bluff Regional Medical Center,Tennessee,10.3,Neither,PPS,2016,50.0,Nursing or Rehabilitation Facility,Converted,
44,4119,Danforth Area Hospital,New York,9.2,Metro,PPS,2015,48.0,No remaining services,Complete,
45,4126,Caldwell Regional Medical Center,West Virginia,4.2,Micro,CAH,2019,25.0,Urgent or Emergency Care,Converted,
46,4132,Clearwater Community Hospital,Michigan,2.2,Metro,CAH,2017,25.0,Urgent or Emergency Care,Converted,
47,4073,Maple Creek Regional Medical Center,Kansas,7.1,Neither,CAH,2018,10.0,Nursing or Rehabilitation Facility,Converted,
48,4018,Kingsley District Hospital,Nebraska,10.1,Neither,PPS,2021,59.0,Long-Term Care,Converted,
49,4048,Camden Hills General Hospital,Mississippi,7.0,Micro,CAH,2019,25.0,No remaining services,Complete,
50,4004,Greencastle General Hospital,Alabama,2.1,Metro,REH,2019,9.0,Nursing or Rehabilitation Facility,Converted,
